Code ALF;Statut;Libellé ALF;Libellé Commercial;Texte Commercial;Famille;Type de produit;Conclusion;Univers;Marché;Code Mercure;Code ADV;Code VAD;Engagement;Jour de facturation;Tarif;Date de fin;Non affiché;Score CRM;CGV;Type de commande
IR135180;C;Abonnement principal voix IP Réduction Retraités d'Orange (mig);Abonnement principal voix IP avec Réduction Retraités d'Orange;- Votre abonnement à la ligne fixe\r\n- Communications facturées au temps, en sus de l'abonnement\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\nOffre accessible en France métropolitaine sous réserve d'éligibi;Ligne Fixe Voix IP (migration);Offres;;Internet;R;;;;;0;0,00 eur/mois sans engagement;;0;;doc_abonnement_principal.zip;Internet
IR135181;C;Abonnement principal voix IP Réduction Retraités d'Orange (acq);Abonnement principal voix IP avec Réduction Retraités d'Orange;- Votre abonnement à la ligne fixe\r\n- Communications facturées au temps, en sus de l'abonnement\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\nOffre accessible en France métropolitaine sous réserve d'éligibi;Ligne Fixe Voix IP (acquisition);Offres;;Internet;R;;;;;0;0,00 eur/mois sans engagement;;0;;doc_abonnement_principal.zip;Internet
IR135182;C;Abonnement principal Fibre Réduction Retraités d'Orange (mig);Abonnement principal Fibre avec Réduction Retraités d'Orange;- Votre abonnement à la ligne fixe\r\n- Communications facturées au temps, en sus de l'abonnement\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\nOffre accessible en France métropolitaine sous réserve d'éligibi;Ligne Fixe Fibre (migration);Offres;;Internet;R;;;;;0;0,00 eur/mois sans engagement;;0;;doc_abonnement_principal.zip;Internet
IR135183;C;Abonnement principal Fibre Réduction Retraités d'Orange (acq);Abonnement principal Fibre avec Réduction Retraités d'Orange;- Votre abonnement à la ligne fixe\r\n- Communications facturées au temps, en sus de l'abonnement\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\nOffre accessible en France métropolitaine sous réserve d'éligibi;Ligne Fixe Fibre (acquisition);Offres;;Internet;R;;;;;0;0,00 eur/mois sans engagement;;0;;doc_abonnement_principal.zip;Internet
IR135349;C;PCM : Smartphones iPhone 12;PCM : Smartphones iPhone 12;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135350;C;PCM : Smartphones iPhone 12 Pro;PCM : Smartphones iPhone 12 Pro;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135369;C;PCM : Smartphones iPhone 12 Pro Max;PCM : Smartphones iPhone 12 Pro Max;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135370;C;PCM : Smartphones iPhone 12 Mini;PCM : Smartphones iPhone 12 Mini;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135401;C;PREMIUM : Frais activation Répéteur Wifi pour Livebox Up/Jet/Max et Open Up/Jet/Max;Frais d'activation de service du Répéteur Wifi pour Livebox Up/Jet/Max et Open Up/Jet/Max;Le répéteur Wifi étend la couverture de la Livebox à la maison. Il est mis à disposition sur les offres Livebox Up/Jet/Max et Open Up/Jet/Max.\r\n\r\nProfitez d'un réseau Wifi performant et fluide partout où vous le souhaitez à la maison !;Equipement;Produits;;Internet;R;;;;;0;10,00 eur;;0;;;Internet
IR135422;C;Coup de Pouce Internet xDSL (acq);Coup de Pouce Internet xDSL : Internet + TV + Téléphone;Internet : accès internet xDSL \r\n\r\nTV : jusqu'à 160 chaînes TV incluses, disponibles sur tous les écrans\r\n\r\nTéléphone fixe : appels illimités vers les fixes en France Métropolitaine, DOM et plus de 110 destinations (1)\r\n\r\n(1) Appels illimités hors coût du service des numéros spéciaux et hors coût des n° courts et surtaxés, dans la limite de 250 correspondants différents par mois, 3h max/appel voix. Liste des destinations sur orange.fr\r\n\r\nOffre sans engagement, sans frais de résiliation\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre solidaire (acquisition);Offres;;Internet;R;;;;;0;15,99 eur/mois*;;0;;doc_Coup_de_Pouce_Internet.zip;Internet
IR135423;C;Coup de Pouce Internet xDSL (mig);Coup de Pouce Internet xDSL : Internet + TV +Téléphone;Internet : accès internet xDSL \r\n\r\nTV : jusqu'à 160 chaînes TV incluses, disponibles sur tous les écrans\r\n\r\nTéléphone fixe : appels illimités vers les fixes en France Métropolitaine, DOM et plus de 110 destinations (1)\r\n\r\n(1) Appels illimités hors coût du service des numéros spéciaux et hors coût des n° courts et surtaxés, dans la limite de 250 correspondants différents par mois, 3h max/appel voix. Liste des destinations sur orange.fr\r\n\r\nOffre sans engagement, sans frais de résiliation\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre solidaire (migration);Offres;;Internet;R;;;;;0;15,99 eur/mois*;;0;;doc_Coup_de_Pouce_Internet.zip;Internet
IR135424;C;Coup de Pouce Internet Fibre (acq);Coup de Pouce Internet Fibre : Internet + TV + Téléphone;Internet : accès internet Fibre\r\n\r\nTV : jusqu'à 160 chaînes TV incluses, disponibles sur tous les écrans\r\n\r\nTéléphone fixe : appels illimités vers les fixes en France Métropolitaine, DOM et plus de 110 destinations (1)\r\n\r\n(1) Appels illimités hors coût du service des numéros spéciaux et hors coût des n° courts et surtaxés, dans la limite de 250 correspondants différents par mois, 3h max/appel voix. Liste des destinations sur orange.fr\r\n\r\nOffre sans engagement, sans frais de résiliation\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre solidaire (acquisition);Offres;;Internet;R;;;;;0;15,99 eur/mois*;;0;;doc_Coup_de_Pouce_Internet.zip;Internet
IR135425;C;Coup de Pouce Internet Fibre (mig);Coup de Pouce Internet Fibre : Internet + TV +Téléphone;Internet : accès internet Fibre\r\n\r\nTV : jusqu'à 160 chaînes TV incluses, disponibles sur tous les écrans\r\n\r\nTéléphone fixe : appels illimités vers les fixes en France Métropolitaine, DOM et plus de 110 destinations (1)\r\n\r\n(1) Appels illimités hors coût du service des numéros spéciaux et hors coût des n° courts et surtaxés, dans la limite de 250 correspondants différents par mois, 3h max/appel voix. Liste des destinations sur orange.fr\r\n\r\nOffre sans engagement, sans frais de résiliation\r\n\r\nRetrouvez le détail de votre offre dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre solidaire (migration);Offres;;Internet;R;;;;;0;15,99 eur/mois*;;0;;doc_Coup_de_Pouce_Internet.zip;Internet
IR135426;C;PCM : Smartphones Samsung S21 5G;PCM : Smartphones Samsung S21 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135427;C;PCM : Smartphones Samsung S21 Plus 5G;PCM : Smartphones Samsung S21 Plus 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135428;C;PCM : Smartphones Samsung S21 Ultra 5G;PCM : Smartphones Samsung S21 Ultra 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135542;C;La Clé TV pour Flybox : frais 10 eur;La Clé TV pour Flybox, frais d'activation de service : 10 eur;;Equipement;Produits;;Internet;R;;;;;0;10,00 eur;;0;;;Mobile
IR135581;C;PCM : Smartphones Autres 5G;PCM : Téléphones mobiles Autres 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135595;C;MdM Livebox : -15 eur 12 mois (Rétention);Livebox : Remise -15 euros/mois pendant 12 mois;Vous bénéficiez d'une remise exceptionnelle de 15 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-15,00 eur/mois pendant 12 mois;;0;;;Internet
IR135635;C;FAQ Désactivation Vo-Wifi : Suivi personnalisé;Comment activer et désactiver les appels Wi-Fi sur votre mobile ?;Retrouvez toutes les informations nécessaires en vous connectant sur : \r\nhttps://assistance.orange.fr/oid/729530#onglet2;Suivi personnalisé;Information;;Internet;R;;;;;0;;;0;;;Autres
IR135642;C;bouquet ciné séries max;bouquet ciné séries max (sans engagement);Le Ciné Séries Max inclut CINÉ+ OCS et la plateforme de streaming Max.;Options TV;Options;;Internet;R;;;;;0;22,99 eur/mois;;0;;;Internet
IR135646;C;bouquet Africain;bouquet Africain (sans engagement);Suivez l'information locale, en français et langues nationales Sénégalaise, Malienne, Ivoirienne et Congolaise. Retrouvez du divertissement pour toute la famille, des programmes jeunesse, sport, éducation.\r\n;Options TV;Options;;Internet;R;;;;;0;7,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR135647;C;bouquet sports max;bouquet sports max (sans engagement);Le meilleur du sport et des grandes compétitions sportives, en direct sur tous vos écrans.\r\nAdrénaline, émotions, compétition...\r\nLe bouquet sports max, un max de chaînes de sport pour tous les passionnés :\r\nbeIN SPORTS 1, 2, 3 pour suivre le foot (Ligue 1, ligue 2) mais aussi le rugby européen, le handball, le basket, le tennis, la NFL...\r\nLes sept canaux événementiels beIN SPORTS MAX pour les jours de multiplex.\r\nHuit chaînes supplémentaires pour suivre de nombreuses autres disciplines : du tennis féminin aux sports mécaniques en passant par la voile, les sports extrêmes et de combat ou le golf.\r\n\r\nLe bouquet est également disponible sur ordinateur, mobile ou tablette via l'application TV d'Orange, pour ne rien manquer.;Options TV;Options;;Internet;R;;;;;0;19,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR135650;C;Consentement de transfert de gestion R à P;Passage de gestion de contrat résidentielle à professionnelle;Vous venez de donner votre accord pour que votre contrat soit géré par les services professionnels d'Orange.\r\n\r\nMerci de confirmer en cliquant sur le bouton ci-dessous « confirmer votre accord ».\r\n\r\nAinsi, vous pourrez bénéficier des avantages réservés aux professionnels :\r\n \r\n- Des conseillers 3901 à votre disposition pour vous accompagner dans vos projets et besoins professionnels,\r\n- Une facture HT conforme pour vos déclarations à l'administration fiscale.\r\n \r\nComme indiqué lors de notre entretien, merci de faire parvenir votre justificatif d'identité et l'extrait Kbis de votre entreprise, à l'adresse mail indiqué par notre conseiller : conseils.pro@orange.com\r\n \r\nVous allez recevoir un e-mail automatique « vos documents contractuels et informations personnelles », merci de ne pas en tenir compte, ainsi que de la partie ci-dessous qui ne s'appliquera pas à vous.;Communication;Information;;Internet;R;;;;;0;;;0;;;Autres
IR135651;C;Demande de rappel suite à passage en P;Demande de rappel pour proposition commerciale;;Communication;Information;;Internet;R;;;;;0;;;0;;;Autres
IR135652;C;MdM Livebox : -10 eur 12 mois (Rétention);Livebox : Remise -10 euros/mois pendant 12 mois;Vous bénéficiez d'une remise de 10 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-10,00 eur/mois pendant 12 mois;;0;;;Internet
IR135710;C;PCM : Smartphones iPhone 13 Pro;PCM : Smartphones iPhone 13 Pro;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135711;C;PCM : Smartphones iPhone 13 Pro Max;PCM : Smartphones iPhone 13 Pro Max;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135712;C;PCM : Smartphones iPhone 13;PCM : Smartphones iPhone 13;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135713;C;PCM : Smartphones iPhone 13 Mini;PCM : Smartphones iPhone 13 Mini;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135890;C;Sirène extérieure;Sirène extérieure;Sirène d'alarme extérieure, sans fil, avec flash lumineux. Design moderne, ultra-plate, avec contrôle sonore depuis l'application. Se fixe à l'extérieur du logement.;Maison Protégée;Options;;Internet;R;;;;;0;5,00 eur/mois par sirène extérieure;;0;;;Internet
IR135906;C;PCM : Smartphones Samsung S22 Ultra 5G;PCM : Smartphones Samsung S22 Ultra 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135907;C;PCM : Smartphones Samsung S22 Plus 5G;PCM : Smartphones Samsung S22 Plus 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135908;C;PCM : Smartphones Samsung S22 5G;PCM : Smartphones Samsung S22 5G;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135913;C;Option Deezer Premium (Offres Internet) 11,99 eur;Orange Deezer Premium sur les Offres Internet (sans engagement) : 11,99 eur/mois;Ecoutez des millions de titres, podcasts et radios depuis tous vos appareils, sans publicité.;Options Internet;Options;;Internet;R;;;;;0;11,99 eur/mois;;0;;;Internet
IR135966;C;Ateliers numériques : Suivi personnalisé;Ateliers numériques : des cours gratuits pour découvrir les usages digitaux;Orange met à disposition des ateliers gratuits pour accompagner la découverte des usages numériques : protection des données personnelles, contrôle parental, utilisation des réseaux sociaux...\r\n\r\nRetrouvez les modalités d'inscription aux ateliers numériques en ligne ou en physique en vous connectant sur :\r\nhttps://inscription.orange.fr/ateliersnumeriques;Suivi personnalisé;Information;;Internet;R;;;;;0;;;0;;;Autres
IR135987;C;PCM : Smartphones Xiaomi 12 5G gris;PCM : Smartphones Xiaomi 12 5G gris;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135988;C;PCM : Smartphones Xiaomi 12 Pro 5G gris;PCM : Smartphones Xiaomi 12 Pro 5G gris;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135989;C;PCM : Smartphones Xiaomi 12 Pro 5G bleu;PCM : Smartphones Xiaomi 12 Pro 5G bleu;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135990;C;PCM : Smartphones Xiaomi 12 5G bleu;PCM : Smartphones Xiaomi 12 5G bleu;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR135992;C;Répéteur Wifi 6 109 eur;Répéteur Wifi 6 : 109 euros;Le répéteur Wifi étend la couverture de la Livebox à la maison.\r\n\r\nProfitez d'un réseau Wifi performant et fluide partout où vous le souhaitez à la maison !;Equipement;Produits;;Internet;R;;;;;0;109,00 eur;;0;;;Internet
IR135999;C;Envoi Airbox 4G (Open/Livebox Max);Airbox 4G pour offres Livebox/Open Max;Airbox est l'équipement 4G qui permet d'être connecté à internet partout, même en dehors de chez soi et de profiter du très haut débit du réseau mobile 4G d'Orange pour connecter et partager son accès internet en Wifi jusqu'à 10 équipements simultanément.;Equipement;Produits;;Internet;R;;;;;0;Offert;;0;;;Internet
IR136000;C;Option Enregistreur TV multi-ecrans (Livebox Max, 300H) offert;Option Enregistreur TV multi-ecrans 300 heures offertes sur offres Livebox;Option compatible exclusivement avec le Décodeur TV HD, HD+et ultra HD avec téléviseur compatible, réservée aux clients détenteurs d'une offre Livebox Max.\r\n;Options TV;Options;;Internet;R;;;;;0;0,00 eur/mois;;0;;cs_enregistreur_TV_Multi_ecrans.pdf;Internet
IR136043;C;Offre Livebox Max Fibre (mig);Offre Livebox Max Fibre;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 100 destinations,\r\n- vers les mobiles de France métropolitaine, DOM, USA, Canada et Europe.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox Max (migration);Offres;;Internet;R;;;;;0;57,99 eur/mois*;;0;;RC_Offre_Livebox_Max.pdf;Internet
IR136044;C;Offre Livebox Max Fibre (acq);Offre Livebox Max Fibre;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 110 destinations,\r\n- vers les mobiles de France métropolitaine, DOM, USA, Canada et Europe.\r\n\r\nOffre avec engagement initial de 12 mois pour les nouveaux clients internet Orange.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox Max (acquisition);Offres;;Internet;R;;;;;0;57,99 eur/mois*;;0;;RC_Offre_Livebox_Max.pdf;Internet
IR136045;C;Offre Livebox Max xDSL (mig);Offre Livebox Max ADSL/VDSL2;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 100 destinations,\r\n- vers les mobiles de France métropolitaine, DOM, USA et Canada.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox Max (migration);Offres;;Internet;R;;;;;0;53,99 eur/mois*;;0;;RC_Offre_Livebox_Max.pdf;Internet
IR136046;C;Offre Livebox Max xDSL (acq);Offre Livebox Max ADSL / VDSL2;Internet + téléphone par internet (ligne Livebox) illimité :\r\n\r\n- vers les fixes de France métropolitaine, DOM et plus de 100 destinations,\r\n- vers les mobiles de France métropolitaine, DOM, USA et Canada.\r\n\r\nOffre avec engagement initial de 12 mois pour les nouveaux clients internet Orange.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox Max (acquisition);Offres;;Internet;R;;;;;0;53,99 eur/mois*;;0;;RC_Offre_Livebox_Max.pdf;Internet
IR136159;C;Envoi Livebox 6;Livebox 6;Uniquement en location (non disponible à la vente) et proposée uniquement aux clients Fibre avec les offres Up. \r\nElle a une connexion ultra rapide et toujours le WiFi intelligent, stable et intelligent, compatible avec tous les appareils du marché.\r\nSon installation Automatique guidée étape par étape avec l'application Orange et moi, permet aussi le pilotage et le dépannage de la Livebox.;Livebox;Produits;;Internet;R;;;;;0;Inclus dans l'offre;;0;;;Internet
IR136164;C;Option Airbox 200Go : solution attente (acq Fibre et ADSL MAX ) avec RDV d'installation;Option Airbox 200Go en solution d’attente de la mise en service de la ligne Fibre ou xDSL;200Go en solution d'attente pour être connecté tout de suite, le temps que votre ligne xDSL ou Fibre soit mise en service, en cas de prise de l'option Airbox 20 Go en acquisition d'une offre Max avec RDV d'installation.\r\n;Options Internet;Options;;Internet;R;;;;;0;Offert;;0;;CS_Airbox_200Go.pdf;Internet
IR136165;C;Frais d'activation Airbox 4G (10 eur);Frais d'activation de l'Airbox 4G de 10 euros;;Frais matériels;Options;;Internet;R;;;;;0;10,00 eur;;0;;;Internet
IR136166;C;PREMIUM : Répéteur Wifi 6 offert service Wifi Sérénité;Répéteur Wifi 6, mise à disposition gratuite sur offres Livebox et Open Max;Le répéteur Wifi étend la couverture de la Livebox à la maison.\r\n\r\nProfitez d'un réseau Wifi performant et fluide partout où vous le souhaitez à la maison !;Equipement;Produits;;Internet;R;;;;;0;Mise à disposition offerte;;0;;;Internet
IR136184;C;Répéteur Wifi 6 offert service Wifi Sérénité (renvoi canal Espace Client Orange);Répéteur Wifi 6, mise à disposition gratuite sur offres Livebox et Open Max (souscription Espace Client orange.fr);Le répéteur Wifi étend la couverture de la Livebox à la maison.\r\nProfitez d'un réseau Wifi performant et fluide partout où vous le souhaitez à la maison !\r\nSouscription jusqu'à 3 répéteurs dans votre Espace Client orange.fr.\r\n;Equipement;Produits;;Internet;R;;;;;0;Mise à disposition offerte;;0;;;Internet
IR136185;C;Répéteur Wifi offert pour Livebox Up/Jet et Open Up/Jet (renvoi canal Espace Client Orange);Répéteur Wifi, mise à disposition gratuite sur offres Livebox Up/Jet et Open Up/Jet (souscription Espace Client orange.fr);Le répéteur Wifi étend la couverture de la Livebox à la maison.\r\nProfitez d'un réseau Wifi performant et fluide partout où vous le souhaitez à la maison !\r\nSouscription sur votre Espace Client orange.fr;Equipement;Produits;;Internet;R;;;;;0;Mise à disposition offerte;;0;;;Internet
IR136186;C;Option Wifi Sérénité (Livebox Max);Option Wifi Sérénité sur offre Livebox Max;Jusqu'à 3 Répéteurs Wifi mis à disposition, ainsi qu'un accompagnement personnalisé par les Spécialistes Wifi d'Orange.;Options Internet;Options;;Internet;R;;;;;0;Offert;;0;;;Internet
IR136187;C;Frais échange Livebox 6 (0 eur);Frais d'échange offerts pour une Livebox 6;;Frais matériels;Options;;Internet;R;;;;;0;Offert;;0;;;Internet
IR136231;C;Option Asie Sud-Est Fixe vers Mobiles (LIVEBOX);Option Asie Sud-Est offres Livebox: 10h d'appels du téléphone fixe vers mobiles;Permet d'appeler vers 13 destinations de l'Asie, pour 10 heures de communication du téléphone fixe vers mobiles : Cambodge, Chine, Corée du Sud, Hong Kong, Indonésie, Japon, Laos, Macao, Malaisie, Singapour, Taiwan, Thaïlande et Viêtnam.\r\n\r\nAppels limités à 99 destinataires différents maximum par mois, et 3 heures maxixmum par appel.\r\n\r\nOption sans engagement.;Options Communication;Options;;Internet;R;;;;;0;10,00 eur/mois;;0;;;Internet
IR136232;C;Option Péninsule Pakistan-Inde Fixe vers Fixes et Mobiles (LIVEBOX);Option Péninsule Pakistan-Inde offres Livebox : 10h d'appels du téléphone fixe vers les fixes et mobiles;10 heures de communication, fixes vers fixes et fixes vers mobiles, vers les destinations :\r\nInde\r\nBangladesh\r\nPakistan\r\n\r\nOption sans engagement.;Options Communication;Options;;Internet;R;;;;;0;9,99 eur/mois;;0;;;Internet
IR136233;C;Option Tunisie appels illimités Fixe vers Fixes (0 eur) (LIVEBOX);Option Tunisie offres Livebox : appels illimités du téléphone fixe vers les fixes;Appelez en illimité(1) vers les fixes de Tunisie, depuis la ligne téléphonique par internet.\r\n\r\nOption sans engagement.\r\n\r\n(1) Hors numéros spéciaux, jusqu'à 99 correspondants différents par mois et 3 heures de communication maximum par appel.;Options Communication;Options;;Internet;R;;;;;0;0,00 eur/mois;;0;;cs_option_tunisie.pdf;Internet
IR136234;C;Option Algérie 10h Fixe vers Fixes (0 eur) (LIVEBOX);Option Algérie offres Livebox : 10h d'appels du téléphone fixe vers les fixes;10 heures d'appels par mois vers les fixes d'Algérie, depuis la ligne de téléphone par internet.\r\n\r\nOption sans engagement.\r\n\r\nAppels hors numéros et services spéciaux et numéros satellitaires, jusqu'à 99 correspondants différents par mois, 3h max/appel.;Options Communication;Options;;Internet;R;;;;;0;0,00 eur/mois;;0;;cs_option_algerie.pdf;Internet
IR136252;C;bouquet Divertissement;bouquet Divertissement (sans engagement);Bouquet Divertissement contenant les chaînes Famille + OCS.;Options TV;Options;;Internet;R;;;;;0;15,99 eur/mois;;0;;;Internet
IR136401;C;PCM : Smartphones iPhone 14;PCM : Smartphones iPhone 14;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR136402;C;PCM : Smartphones iPhone 14 Plus;PCM : Smartphones iPhone 14 Plus;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR136403;C;PCM : Smartphones iPhone 14 Pro;PCM : Smartphones iPhone 14 Pro;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR136404;C;PCM : Smartphones iPhone 14 Pro Max;PCM : Smartphones iPhone 14 Pro Max;;Terminaux mobiles;Produits;;Internet;R;;;;;0;;;0;;;Mobile
IR136414;C;Netflix Standard (Offres Internet) 14,99 eur;Netflix Standard pour Offres Internet (sans engagement) : 14,99 eur/mois;2 écrans à la fois\r\nHaute Définition\r\nTéléchargement (2 appareils);Options TV;Options;;Internet;R;;;;;0;14,99 eur/mois;;0;;;Internet
IR136415;C;Netflix Premium (Offres Internet) 21,99 eur;Netflix Premium pour Offres Internet (sans engagement) : 21,99 eur/mois;4 écrans à la fois\r\nHaute Définition\r\nTéléchargement (6 appareils);Options TV;Options;;Internet;R;;;;;0;21,99 eur/mois;;0;;;Internet
IR136416;C;ODR Mobile -6 eur FM 2h 100 Mo SANS condition PNM;ODR mobile -6 euros sur Forfait Mobile 2h 100 Mo;Vous êtes nouveau client mobile, Orange vous rembourse 6 euros par mois pendant 6 mois pour la souscription à un Forfait Mobile 2h 100 Mo SANS condition de portabilité du numéro.\r\n\r\nEnvoyez votre dossier en remplissant et en validant le formulaire disponible à l'adresse suivante : \r\nhttps://boutique.orange.fr/bon-plan-promo/odr-remboursement/\r\n\r\nVous voulez suivre votre dossier, connectez-vous sur www.suiviodr.orange.fr;ODR;Information;;Internet;R;;;;;0;-6,00 eur/mois pendant 6 mois;;0;;;Mobile
IR136430;C;Décodeur TV UHD Sosh : frais échange 10 eur (échange décodeur UHD 90);Décodeur TV UHD pour la Boîte Sosh, frais d'échange de 10 euros;;Frais matériels;Options;;Internet;R;;;;;0;10,00 eur;;0;;;Internet
IR136431;C;Décodeur TV UHD Sosh : frais échange 40 eur (échange décodeur Play ou TV 4);Décodeur TV UHD pour la Boîte Sosh, frais d'échange de 40 euros;;Frais matériels;Options;;Internet;R;;;;;0;40,00 eur;;0;;;Internet
IR136432;C;Décodeur TV UHD Sosh : frais activation 0 eur;Décodeur TV UHD pour la Boîte Sosh, frais d'activation de service offerts;;Décodeur;Produits;;Internet;R;;;;;0;0,00 eur;;0;;;Internet
IR136477;C;Paramount+ 7,99eur;Paramount+ 7,99 euros par mois (sans engagement);Une montagne de divertissement. \r\nDes contenus en Haute Définition. \r\nCréez autant de profil que vous le souhaitez et téléchargez vos contenus préférés sur vos appareils.\r\n;Options TV;Options;;Internet;R;;;;;0;7,99 eur/mois;;0;;;Internet
IR136514;A;ODR Mobile -10 eur FM et FMR Voyage 180 Go 5G+ SANS condition PNM;ODR mobile -10 euros sur Forfait Mobile et Forfait Mobile Remisé Voyage 180 Go 5G+ SANS condition PNM;Vous êtes nouveau client mobile, Orange vous rembourse 10 euros par mois pendant 12 mois pour la souscription à un Forfait Mobile ou Forfait Mobile Remisé Voyage 180 Go 5G+ SANS condition de portabilité du numéro.\r\n\r\nEnvoyez votre dossier en remplissant et en validant le formulaire disponible à l'adresse suivante : \r\nhttps://boutique.orange.fr/bon-plan-promo/odr-remboursement/\r\n\r\nVous voulez suivre votre dossier, connectez-vous sur www.suiviodr.orange.fr;ODR;Information;;Internet;R;;;;;0;-10,00 eur/mois pendant 12 mois;19/11/2025;0;;;Mobile
IR136521;C;Abonnement Orange Maison Protégée Appartement 30 eur/mois;Abonnement Orange Maison Protégée Appartement;Orange Maison Protégée est une solution de télésurveillance tout inclus proposée par Orange Télésurveillance pour une prise en charge complète et fiable de la sécurité de votre domicile.;Maison Protégée;Options;;Internet;R;;;;;0;30,00 eur/mois;;0;;Orange_Maison_protegee.pdf;Internet
IR136522;C;Abonnement Orange Maison Protégée Maison 40 eur/mois;Abonnement Orange Maison Protégée Maison;Orange Maison Protégée est une solution de télésurveillance tout inclus proposée par Orange Télésurveillance pour une prise en charge complète et fiable de la sécurité de votre domicile.;Maison Protégée;Options;;Internet;R;;;;;0;40,00 eur/mois;;0;;Orange_Maison_protegee.pdf;Internet
